"","ResultID","AnomalyType"
"1","0029-200601180000-13417-QLQD-ec","Lowest10%SubmValues"
"2","0029-200601180000-13417-LQD-ec","Lowest5%SubmValues"
"3","0029-200601180000-13417-LQD-ec","Lowest5%SubmStnValues"
"4","0029-200601180000-13430-LSR-ec","Highest95%AmbientValues"
"5","0029-200601180000-13430-LSR-ec","ViolatesWQStandard"
"6","0029-200601180000-13432-QLQD-ec","Highest95%AmbientValues"
"7","0029-200601180000-13432-QLQD-ec","ViolatesWQStandard"
"8","0029-200601180000-13432-LQD-ec","Highest95%AmbientValues"
"9","0029-200601180000-13432-LQD-ec","ViolatesWQStandard"
"10","0029-200601180000-13434-LSR-ec","Highest95%AmbientValues"
"11","0029-200601180000-13434-LSR-ec","ViolatesWQStandard"
"12","0029-200601180000-13469-LSR-ec","Lowest5%SubmValues"
"13","0029-200601180000-13477-LSR-ec","Lowest5%SubmValues"
"14","0029-200601180000-13477-LSR-ec","Lowest5%AmbientValues"
"15","0029-200601180000-13484-QLQD-ec","ViolatesLessProtectiveWQStandard"
"16","0029-200601180000-13484-LQD-ec","Highest95%AmbientValues"
"17","0029-200601180000-13484-LQD-ec","ViolatesWQStandard"
"18","0029-200601180000-13538-LSR-ec","ViolatesLessProtectiveWQStandard"
"19","0029-200601180000-33134-LSR-ec","Highest95%AmbientValues"
"20","0029-200601180000-33134-LSR-ec","ViolatesWQStandard"
"21","0029-200601180000-33140-QLQD-ec","Lowest10%SubmValues"
"22","0029-200601180000-33140-QLQD-ec","Lowest5%SubmStnValues"
"23","0029-200601180000-33142-LSR-ec","Lowest5%SubmValues"
"24","0029-200601180000-33145-LSR-ec","Highest90%SubmValues"
"25","0029-200601180000-33145-LSR-ec","Highest99%AmbientValues"
"26","0029-200601180000-33145-LSR-ec","ViolatesWQStandard"
"27","0029-200601180000-33152-LSR-ec","Lowest10%SubmValues"
"28","0029-200601250000-12832-LSR-ec","ViolatesLessProtectiveWQStandard"
"29","0029-200601250000-13077-LSR-ec","Lowest10%SubmValues"
"30","0029-200601250000-13428-LSR-ec","Lowest5%SubmStnValues"
"31","0029-200601250000-13430-QLQD-ec","ViolatesLessProtectiveWQStandard"
"32","0029-200601250000-13430-LQD-ec","ViolatesLessProtectiveWQStandard"
"33","0029-200601250000-13432-LSR-ec","Highest90%SubmValues"
"34","0029-200601250000-13432-LSR-ec","Highest99%AmbientValues"
"35","0029-200601250000-13432-LSR-ec","ViolatesWQStandard"
"36","0029-200601250000-13433-LSR-ec","Lowest10%SubmValues"
"37","0029-200601250000-13434-QLQD-ec","Lowest5%SubmStnValues"
"38","0029-200601250000-13434-LQD-ec","Lowest5%SubmStnValues"
"39","0029-200601250000-13477-LSR-ec","Lowest10%SubmValues"
"40","0029-200601250000-13513-LSR-ec","Lowest10%SubmValues"
"41","0029-200601250000-13538-LSR-ec","Lowest10%SubmValues"
"42","0029-200601250000-33134-LSR-ec","Highest95%AmbientValues"
"43","0029-200601250000-33134-LSR-ec","ViolatesWQStandard"
"44","0029-200601250000-33136-LSR-ec","ViolatesLessProtectiveWQStandard"
"45","0029-200601250000-33141-LSR-ec","Lowest10%SubmValues"
"46","0029-200601250000-33142-QLQD-ec","Lowest5%SubmValues"
"47","0029-200601250000-33142-LQD-ec","Lowest5%SubmValues"
"48","0029-200601250000-33145-LSR-ec","Lowest5%SubmStnValues"
"49","0029-200601250000-33152-LSR-ec","Lowest5%SubmValues"
"50","0029-200602080000-13410-LSR-ec","Lowest5%SubmValues"
"51","0029-200602080000-13410-LSR-ec","Lowest5%SubmStnValues"
"52","0029-200602080000-13417-LSR-ec","Lowest5%SubmValues"
"53","0029-200602080000-13417-LSR-ec","Lowest5%SubmStnValues"
"54","0029-200602080000-13430-LSR-ec","ViolatesLessProtectiveWQStandard"
"55","0029-200602080000-13431-LSR-ec","Lowest5%SubmStnValues"
"56","0029-200602080000-13432-LSR-ec","Lowest5%SubmStnValues"
"57","0029-200602080000-13433-LSR-ec","Lowest10%SubmValues"
"58","0029-200602080000-13434-LSR-ec","Lowest5%SubmStnValues"
"59","0029-200602080000-13477-LSR-ec","Lowest10%SubmValues"
"60","0029-200602080000-33134-LSR-ec","Highest95%AmbientValues"
"61","0029-200602080000-33134-LSR-ec","ViolatesWQStandard"
"62","0029-200602080000-33137-LQD-ec","Lowest10%SubmValues"
"63","0029-200602080000-33140-QLQD-ec","Lowest5%SubmValues"
"64","0029-200602080000-33140-QLQD-ec","Lowest5%SubmStnValues"
"65","0029-200602080000-33140-LQD-ec","Lowest5%SubmValues"
"66","0029-200602080000-33140-LQD-ec","Lowest5%SubmStnValues"
"67","0029-200602080000-33141-LSR-ec","Lowest10%SubmValues"
"68","0029-200602080000-33145-LSR-ec","Lowest5%SubmStnValues"
"69","0029-200602080000-33152-LSR-ec","Lowest5%SubmValues"
"70","0029-200602080000-33153-LSR-ec","Lowest10%SubmValues"
"71","0029-200602080000-33153-LSR-ec","Lowest5%SubmStnValues"
"72","0029-200602080000-33155-QLQD-ec","Lowest5%SubmStnValues"
"73","0029-200602080000-33155-LQD-ec","Lowest5%SubmStnValues"
"74","0029-200602150000-13077-LSR-ec","Lowest10%SubmValues"
